tripoin. inc, | 2016-10-19 14:45:12,235 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,235 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,235 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,235 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,236 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#66df8783#2'
tripoin. inc, | 2016-10-19 14:45:12,236 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,236 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,236 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,236 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,237 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,238 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,238 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,238 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,238 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(484) | Finished creating instance of bean '(inner bean)#4cc8ddda#2'
tripoin. inc, | 2016-10-19 14:45:12,239 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.createBean(448) | Creating instance of bean '(inner bean)#39aa91e1'
tripoin. inc, | 2016-10-19 14:45:12,239 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
tripoin. inc, | 2016-10-19 14:45:12,239 DEBUG| org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'org.springframework.security.methodSecurityMetadataSourceAdvisor'
